Soil_Type,Rainfall,Temperature,Humidity,Fertilizer_Usage,Pesticide_Usage,Irrigation_Hours,Previous_Yield,Season,Crop_Yield,Crop_Health,Suitability,Productivity_Zone
Loamy,716.92,19.78,89.45,145.51,60.63,4.82,3.35,Rabi,4.2,Healthy,Medium,Low Productivity
Sandy,200.0,32.86,70.82,235.37,64.71,4.7,2.43,Summer,4.72,Healthy,Medium,Low Productivity
Loamy,477.19,27.68,79.81,161.24,42.81,6.33,4.71,Kharif,4.69,Healthy,Low,Moderate Productivity
Loamy,622.87,18.12,91.13,155.98,36.12,5.56,3.51,Rabi,4.97,Healthy,Medium,Moderate Productivity
Clay,500.6,38.04,73.12,196.35,41.59,3.3,2.29,Summer,3.15,Healthy,Medium,Low Productivity
Loamy,330.73,17.85,88.14,123.33,50.38,1.82,3.52,Rabi,3.64,Healthy,Low,Low Productivity
Loamy,567.21,40.83,51.92,301.15,37.04,5.06,3.91,Summer,5.31,Unhealthy,Medium,Moderate Productivity
Loamy,581.05,24.85,76.15,214.44,50.95,4.85,2.83,Rabi,4.4,Healthy,Medium,Low Productivity
Clay,1419.1,28.61,74.53,230.37,66.48,3.66,3.19,Kharif,6.26,Healthy,Medium,Moderate Productivity
Sandy,521.58,40.69,61.89,286.25,23.44,8.44,2.72,Summer,5.84,Unhealthy,Medium,Moderate Productivity
Sandy,1052.23,35.07,72.85,350.03,38.78,6.52,3.29,Kharif,7.23,Healthy,High,High Productivity
Loamy,1164.82,29.87,72.75,283.09,59.24,3.53,4.06,Kharif,6.7,Healthy,Medium,High Productivity
Loamy,525.47,24.13,78.99,145.88,40.48,7.08,3.43,Rabi,3.41,Healthy,Medium,Low Productivity
Loamy,518.09,40.04,61.3,192.18,48.29,3.67,4.11,Summer,4.47,Unhealthy,Low,Moderate Productivity
Sandy,393.16,35.87,65.37,311.31,47.92,9.27,2.25,Summer,4.84,Healthy,Medium,Low Productivity
Clay,1435.89,27.26,78.51,267.82,57.92,4.96,4.35,Kharif,8.0,Healthy,High,High Productivity
Sandy,1434.47,31.49,73.22,379.5,63.1,8.6,3.56,Kharif,8.0,Healthy,High,High Productivity
Clay,200.0,36.88,73.19,243.01,47.29,2.17,3.11,Summer,4.9,Healthy,Medium,Moderate Productivity
Loamy,1262.51,29.36,73.81,191.33,26.69,6.47,4.47,Kharif,7.31,Healthy,High,High Productivity
Loamy,1202.15,26.26,80.7,299.18,39.21,4.13,3.91,Kharif,8.0,Healthy,High,High Productivity
Loamy,572.76,30.34,74.87,304.29,66.32,4.76,3.49,Kharif,5.14,Healthy,Medium,Moderate Productivity
Sandy,662.34,16.32,95.0,92.9,36.36,8.54,2.96,Rabi,3.05,Healthy,Low,Low Productivity
Loamy,442.65,30.16,77.04,295.27,50.08,3.55,3.88,Summer,5.12,Healthy,Medium,Moderate Productivity
Loamy,408.16,34.4,77.98,317.91,20.25,6.08,3.34,Summer,5.14,Healthy,Medium,Moderate Productivity
Loamy,447.66,34.77,66.52,216.26,28.44,6.51,4.09,Summer,4.5,Healthy,Medium,Moderate Productivity
Clay,1185.39,27.64,80.58,152.01,55.04,2.43,3.03,Kharif,5.79,Healthy,Medium,Moderate Productivity
Sandy,1585.99,22.1,84.6,345.53,47.74,9.51,3.51,Kharif,8.0,Healthy,High,High Productivity
Clay,685.33,24.32,78.69,312.87,41.84,3.96,2.87,Rabi,5.85,Healthy,Medium,Moderate Productivity
Clay,1182.17,31.27,76.14,123.84,36.7,4.7,3.09,Kharif,5.79,Healthy,Medium,Moderate Productivity
Loamy,1344.83,30.92,85.56,237.61,27.7,5.31,3.03,Kharif,6.24,Healthy,High,Moderate Productivity
Loamy,988.81,23.82,81.15,176.71,53.28,4.5,4.15,Kharif,6.36,Healthy,Medium,High Productivity
Loamy,1215.28,33.59,73.06,131.12,41.09,5.23,3.41,Kharif,5.26,Healthy,Medium,Moderate Productivity
Sandy,716.39,22.34,80.63,201.53,30.97,3.2,3.27,Rabi,4.67,Healthy,Medium,Low Productivity
Sandy,272.2,35.79,63.75,315.08,41.43,10.4,2.99,Summer,4.73,Healthy,Medium,Low Productivity
Sandy,1130.85,27.37,77.21,224.63,50.98,5.42,3.49,Kharif,7.01,Healthy,High,High Productivity
Clay,975.92,19.35,88.53,301.07,46.55,2.97,2.29,Rabi,5.14,Healthy,Medium,Low Productivity
Clay,646.26,32.56,72.91,270.5,45.03,4.2,2.46,Summer,4.3,Healthy,Medium,Low Productivity
Sandy,468.03,35.95,69.73,201.48,43.3,8.56,3.1,Summer,3.88,Healthy,Medium,Low Productivity
Clay,451.27,35.13,63.61,137.22,34.01,4.53,3.86,Summer,3.94,Healthy,Medium,Low Productivity
Loamy,817.25,22.98,83.3,258.02,47.53,6.41,4.23,Rabi,6.51,Healthy,Medium,High Productivity
Sandy,343.47,39.01,69.7,267.6,50.26,6.46,3.07,Summer,5.23,Healthy,Medium,Moderate Productivity
Loamy,1321.78,27.19,74.58,195.57,54.72,4.2,5.17,Kharif,7.74,Healthy,High,High Productivity
Loamy,1314.44,31.24,74.74,207.91,52.33,4.49,4.29,Kharif,7.83,Healthy,High,High Productivity
Sandy,961.31,27.5,82.46,231.54,39.99,3.42,3.3,Kharif,6.21,Healthy,Medium,Moderate Productivity
Loamy,536.98,23.45,81.94,216.9,52.95,6.67,3.75,Rabi,4.57,Healthy,Medium,Moderate Productivity
